 ,,,,,,,,,,,,,,,
敏感词,Sensitive Word,https://chinadigitaltimes.net/2018/02/sensitive-words-emperor-xi-jinping-ascend-throne/,第一次测试日期/结果 Date/Result of Test 1,,第二次测试日期/结果 Date/Result of Test 2,,第三次测试日期/结果 Date/Result of Test 3,,第四次测试日期/结果 Date/Result of Test 4,,第五次测试日期/结果 Date/Result of Test 5,,第六次测试日期/结果 Date/Result of Test 6,,"“中国数字时代敏感词开源研究项目”是网站《中国数字时代》的一个研究项目，目前在更新新浪微博搜索敏感词列表。请网友参与，提供敏感词线索，共同构建和完善该敏感词列表。
"
人民报,People's Paper (overseas),--,2011-10-18,Y,,,,,,,,,,,
反华势力,anti-Chinese force,--,2011-10-18,Y,,,,,,,,,,,
一九八四,nineteen eighty-four,--,2011-10-18,Y,,,,,,,,,,,
梁光烈,Liang Guanglie,--,2011-10-06,Y,2012-03-19,Y,,,,,,,,,
徐才厚,Xu Caihou,--,2011-10-06,Y,2015-03-18,N,,,,,,,,,
郭伯雄,Guo Boxiong,--,2011-10-06,Y,,,,,,,,,,,
陈炳德,Chen Bingde,--,2011-10-06,Y,,,,,,,,,,,
廖锡龙,Liao Xilong,--,2011-10-06,Y,,,,,,,,,,,
王岐山,Wang Qishan,--,2011-10-06,Y,,,,,,,,,,,
刘延东,Liu Yandong,--,2011-10-06,Y,,,,,,,,,,,
马凯,Ma Kai,--,2011-10-06,Y,,,,,,,,,,,
孟建柱,Meng Jianzhu,--,2011-10-06,Y,,,,,,,,,,,
盛光祖,Sheng Guangzu,--,2011-10-06,Y,,,,,,,,,,,
秦刚,Qin Gang,--,2011-10-06,Y,,,,,,,,,,,
沈国放,Shen Guofang,--,2011-10-06,Y,,,,,,,,,,,
军委,Military Commission [of the CCP],--,2011-10-06,Y,2012-03-22,Y,,,,,,,,,
总书记,secretary-general,--,2011-10-06,Y,2012-07-02,Y,,,,,,,,,
国务院副总理,vice-premier of the State Council,--,2011-10-06,Y,,,,,,,,,,,
国家副主席,vice-chairman of the country,--,2011-10-06,Y,,,,,,,,,,,
李肇星,Li Zhaoxing,--,2011-10-06,Y,2012-05-09,Y,,,,,,,,,
网络管理办公室,Internet Management Office,--,2011-10-06,Y,,,,,,,,,,,
张高丽,Zhang Gaoli,--,2011-10-06,Y,,,,,,,,,,,
刘淇,Liu Qi,--,2011-10-06,Y,,,,,,,,,,,
孟学农,Meng Xuenong,--,2011-10-06,Y,,,,,,,,,,,
李鸿忠,Li Hongzhong,--,2011-10-06,Y,,,,,,,,,,,
郭金龙,Guo Jinlong,--,2011-10-06,Y,,,,,,,,,,,
刘奇葆,Liu Qibao,--,2011-10-06,Y,,,,,,,,,,,
非暴力不合作,non-violent non-cooperation ,--,2011-10-06,Y,,,,,,,,,,,
穆斯林,Muslim,--,2011-10-06,Y,,,,,,,,,,,
戴相龙,Dai Xianglong,--,2011-10-06,Y,,,,,,,,,,,
CCAV,CCAV,--,2011-10-06,Y,,,,,,,,,,,
蔡名照,Cai Mingzhao,--,2011-10-05,Y,,,,,,,,,,,
江戏子,Actor Wen [Jiabao],--,2011-10-05,Y,,,,,,,,,,,
温影帝,Movie Star Wen [Jiabao],--,2011-10-05,Y,2012-03-22,Y,,,,,,,,,
陈光诚,Chen Guangcheng,--,2011-10-05,Y,,,,,,,,,,,
滕彪,Teng Biao,--,2011-10-05,Y,2012-01-28,Y,,,,,,,,,
谭作人,Tan Zuoren,--,2011-10-05,Y,,,,,,,,,,,
六合彩,Mark Six,--,2011-10-05,Y,,,,,,,,,,,
九评,Nine Commentaries,--,2011-10-05,Y,,,,,,,,,,,
flg,flg,--,2011-10-05,Y,,,,,,,,,,,
历史的伤口,Wound of History (song about Tiananmen Square Massacre),--,2011-10-05,Y,,,,,,,,,,,
学潮,student movement,--,2011-10-05,Y,,,,,,,,,,,
民主女神,Goddess of Democracy,--,2011-10-05,Y,,,,,,,,,,,
血染的风采,Bloodstained Glory (patriotic song),--,2011-10-05,Y,2011-11-02,Y,,,,,,,,,
示威,demonstrate,--,2011-10-05,Y,2012-01-20,N,2012-09-19,Y,2013-10-16,N,,,,,
镇压,suppress,--,2011-10-05,Y,2012-01-20,N,,,,,,,,,
中国民主党,Chinese Democratic Party,--,2011-10-05,Y,2011-10-20,Y,,,,,,,,,
支那,China,--,2011-10-05,Y,,,,,,,,,,,
